GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
final-fabriziofranco,default,Blockudoku,77,425,12,66,17,93,10,42,0,13
final-fabriziofranco,default,Bloque,40,173,4,14,4,31,4,11,0,6
